Timestamp,"What’s your total salary in US dollars, ANNUAL BEFORE TAXES?",Your country,Zipcode,Primary database,Years of experience with DB,Other databases ,Job type,Job title,Do you manage other staff?,Years of service,How many other people on your team do the same job as you?,Number of database servers,Highest level of higher education completed,Is your college degree computer-related?,Do you hold industry certifications?,How many hours do you work per week?,Number of days do you work from home?,Employer sector,Are you looking for another job right now?,What are your career plans for the year 2018?,To which gender do you most identify?,Other job duties,What kinds of work do you do?
12/12/2017 16:39,100000,Australia,,Microsoft SQL Server,9,None,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,6,1,50,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects"
12/12/2017 16:43,160000,United Kingdom,W1,Microsoft SQL Server,18,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, MongoDB, SAP, Amazon RDS (any flavor), Kafka",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,1,65,Associates (2 years),Yes,"Yes, but they expired",45,4,Private business,No,Change both employers and roles,Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: App code (C#, JS, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching"
12/12/2017 16:44,35000,Italy,,Microsoft SQL Server,5,Azure SQL DB,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,5,None,15,Associates (2 years),Yes,"Yes, and they're currently valid",40,2,Private business,"Yes, but only passively (just curious)","Stay with the same employer, but change roles",Male,"DBA (Production Focus - build & troubleshoot servers, HA/DR), Developer: App code (C#, JS, etc)",Build scripts & automation tools
12/12/2017 16:48,30000,Serbia and Montenegro,,Microsoft SQL Server,10,"PostgreSQL, Microsoft Access",Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,2,15,Masters,No,"No, I never have",40,5 or more,Private business,"Yes, but only passively (just curious)",Change both employers and roles,Male,"Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management"
12/12/2017 16:53,60000,Australia,2640,Microsoft SQL Server,12,"MongoDB, Microsoft Access, SQLite, Azure SQL DB, CouchDb",Full time employee,"Developer: App code (C#, JS, etc)",No,12,1,8,Masters,Yes,"Yes, and they're currently valid",38,"None, or less than 1 day per week",Private business,"Yes, actively looking for something else",Change both employers and roles,Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects"
12/12/2017 16:54,125000,United States,60657,Microsoft SQL Server,6,"Oracle, PostgreSQL, MongoDB, Cassandra, SAP, Azure SQL DB, Amazon RDS (any flavor)",Full time employee of a consulting/contracting company,Architect,Yes,1,2,100,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Developer: App code (C#, JS, etc), Developer: T-SQL","Projects, R&D, Training/teaching"
12/12/2017 16:59,125000,United States,87111,Microsoft SQL Server,15,Oracle,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,8,3,11,Bachelors (4 years),No,"No, I never have",45,5 or more,Private business,"Yes, but only passively (just curious)",Prefer not to say,Female,"Architect, Developer: T-SQL",
12/12/2017 17:03,102000,Australia,3130,Microsoft SQL Server,14,"Oracle, MySQL/MariaDB, Microsoft Access, SQLite, SAP",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,4,None,24,Masters,No,"No, I never have",40,1,Non-profit,"Yes, but only passively (just curious)","Stay with the same employer, but change roles",Male,Data Scientist,"Build scripts & automation tools, Meetings & management, On-call as part of a rotation, Projects"
12/12/2017 17:07,78000,United States,72908,DB2,2,"Microsoft SQL Server, DB2",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,2,More than 5,14,Bachelors (4 years),Yes,"No, I never have",45,5 or more,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Analyst,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching"
12/12/2017 17:10,68000,Australia,2601,Microsoft SQL Server,8,"Oracle, Microsoft Access, Azure SQL DB",Part time,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,8,2,103,None (no degree completed),N/A,"No, I never have",30,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments)","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects"
12/12/2017 17:12,115000,United States,84045,Microsoft SQL Server,8,"Microsoft SQL Server, PostgreSQL",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,4,1,20,Bachelors (4 years),Yes,"No, I never have",40,2,Private business,No,"Stay with the same employer, same role",Male,"Architect, Developer: T-SQL","Build scripts & automation tools, Meetings & management"
12/12/2017 17:15,118560,United States,80021,Microsoft SQL Server,17,Microsoft SQL Server,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,4,3,350,Bachelors (4 years),No,"Yes, and they're currently valid",42,5 or more,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),"Build scripts & automation tools, Manual tasks, On-call as part of a rotation"
12/12/2017 17:23,73000,United States,63131,Microsoft SQL Server,1,None,Full time employee,Engineer,No,6,None,20,None (no degree completed),N/A,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, but change roles",Male,"DBA (Production Focus - build & troubleshoot servers, HA/DR)","Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects"
12/12/2017 17:24,70000,United Kingdom,NE63 8TJ,Microsoft SQL Server,11,"MySQL/MariaDB, Microsoft Access",Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,0,None,3,Masters,Yes,"No, I never have",37,2,"Education (K-12, college, university)",No,"Stay with the same employer, same role",Male,"Developer: App code (C#, JS, etc), Developer: T-SQL","Build scripts & automation tools, Meetings & management, Projects, R&D, Training/teaching"
12/12/2017 17:26,86000,United States,17110,Microsoft SQL Server,14,None,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,2,None,40,Bachelors (4 years),Yes,"No, I never have",38,"None, or less than 1 day per week",State/province government,No,"Stay with the same employer, but change roles",Male,Manager,"Meetings & management, On-call as part of a rotation, Projects, R&D"
12/12/2017 17:29,125000,United States,92886,Microsoft SQL Server,15,Microsoft SQL Server,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,6,2,160,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation"
12/12/2017 17:30,82000,United States,85721,Microsoft SQL Server,14,"Microsoft SQL Server, Oracle, Azure SQL DB, Amazon RDS (any flavor)",Full time employee,Engineer,No,8,None,15,None (no degree completed),N/A,"Yes, and they're currently valid",45,3,"Education (K-12, college, university)",No,"Stay with the same employer, same role",Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), Developer: T-SQL","Build scripts & automation tools, On-call 24/7/365, Projects"
12/12/2017 17:32,106000,United States,37128,Microsoft SQL Server,20,"Microsoft SQL Server, Oracle",Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,1,More than 5,5,Associates (2 years),No,"No, I never have",40,1,Private business,No,"Stay with the same employer, but change roles",Male,Developer: T-SQL,
12/12/2017 17:37,102000,United States,98042,Microsoft SQL Server,9,None,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,1,None,5,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"Analyst, DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management"
12/12/2017 17:39,59000,Sweden,,Microsoft SQL Server,1,"Microsoft SQL Server, Azure SQL DB",Full time employee,Engineer,No,10,2,120,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects"
12/12/2017 17:45,130000,United States,2110,Microsoft SQL Server,20,"MySQL/MariaDB, PostgreSQL",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,2,30,Associates (2 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,Developer: T-SQL,"Build scripts & automation tools, Meetings & management, On-call as part of a rotation, On-call 24/7/365, Projects"
12/12/2017 17:50,52000,United States,83709,Microsoft SQL Server,1,None,Full time employee,"Developer: App code (C#, JS, etc)",No,1,3,5,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,,
12/12/2017 18:04,62000,Australia,6152,Microsoft SQL Server,3,"PostgreSQL, Microsoft Access",Full time employee,Analyst,No,1,None,5,None (no degree completed),N/A,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL","Build scripts & automation tools, Manual tasks, On-call 24/7/365, Projects"
12/12/2017 18:10,76000,Netherlands,,Microsoft SQL Server,7,None,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",Yes,7,3,25,Bachelors (4 years),No,"No, I never have",50,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Analyst,Meetings & management
12/12/2017 18:19,118000,United States,44256,Microsoft SQL Server,22,Azure SQL DB,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,6,4,2,Bachelors (4 years),Yes,"No, I never have",40,5 or more,Private business,"Yes, actively looking for something else",Prefer not to say,Female,"DBA (Production Focus - build & troubleshoot servers, HA/DR)","Build scripts & automation tools, Projects"
12/12/2017 18:24,77500,United States,,Oracle,20,"Microsoft SQL Server, Oracle",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,15,3,8,Bachelors (4 years),No,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Developer: T-SQL,"Projects, Training/teaching"
12/12/2017 18:25,95000,United States,46410,Microsoft SQL Server,19,"MySQL/MariaDB, DB2, Microsoft Access, SAP, Azure SQL DB",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,19,2,150,Bachelors (4 years),No,"Yes, but they expired",50,5 or more,Private business,No,"Stay with the same employer, same role",Male,Developer: T-SQL,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, On-call 24/7/365, Projects, Training/teaching"
12/12/2017 19:07,95000,United States,,Microsoft SQL Server,53716,Microsoft SQL Server,Full time employee of a consulting/contracting company,Engineer,No,1,4,600,Bachelors (4 years),No,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Female,"DBA (Production Focus - build & troubleshoot servers, HA/DR)","Manual tasks, On-call as part of a rotation, Projects"
12/12/2017 19:11,110000,United States,17545,Microsoft SQL Server,20,None,Full time employee,"Developer: App code (C#, JS, etc)",Yes,6,3,25,Bachelors (4 years),Yes,"Yes, but they expired",45,5 or more,Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Developer: App code (C#, JS, etc), Developer: T-SQL, Manager","Build scripts & automation tools, Manual tasks, Meetings & management, Projects"
12/12/2017 19:13,95000,United States,64119,Microsoft SQL Server,16,None,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,0,1,55,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,,"Manual tasks, On-call as part of a rotation"
12/12/2017 19:26,72500,United States,,Microsoft SQL Server,17,None,Full time employee,Manager,Yes,10,1,4,Bachelors (4 years),No,"No, I never have",50,"None, or less than 1 day per week","Education (K-12, college, university)",No,"Stay with the same employer, same role",Male,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),"Build scripts & automation tools, Meetings & management, On-call 24/7/365, Projects"
12/12/2017 19:35,151000,Australia,6000,Microsoft SQL Server,15,"MySQL/MariaDB, PostgreSQL, Microsoft Access, SAP, Azure SQL DB","Independent consultant, contractor, freelancer, or company owner","DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,7,None,600,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Local government,"Yes, but only passively (just curious)",Change both employers and roles,Male,"Architect, Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D"
12/12/2017 19:41,104000,United States,84106,Microsoft SQL Server,11,Microsoft SQL Server,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,More than 5,300,Bachelors (4 years),No,"Yes, but they expired",60,3,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Female,,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects"
12/12/2017 19:43,104000,United States,98117,Microsoft SQL Server,10,"MySQL/MariaDB, DB2, Teradata",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,5,4,320,Masters,No,"No, I never have",44,"None, or less than 1 day per week",State/province government,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Manual tasks, Meetings & management, On-call as part of a rotation, Projects"
12/12/2017 19:44,76780,United States,,Microsoft SQL Server,3,None,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,None,50,Bachelors (4 years),No,"No, I never have",50,"None, or less than 1 day per week",Non-profit,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,,
12/12/2017 20:08,95000,United States,68,Microsoft SQL Server,6,None,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,1,None,20,Associates (2 years),Yes,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,Architect,"Build scripts & automation tools, Meetings & management"
12/12/2017 20:09,80000,Australia,6000,Microsoft SQL Server,5,Oracle,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,5,1,70,Bachelors (4 years),No,"No, I never have",38,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,,On-call as part of a rotation
12/12/2017 20:14,73000,New Zealand,8041,Microsoft SQL Server,13,"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,13,None,100,None (no degree completed),N/A,"No, I never have",40,"None, or less than 1 day per week",Local government,No,"Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, On-call 24/7/365, Projects, R&D"
12/12/2017 20:16,136000,United States,95113,Microsoft SQL Server,15,Microsoft Access,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",Yes,10,1,100,None (no degree completed),N/A,"Yes, but they expired",45,5 or more,Private business,No,"Stay with the same employer, same role",Female,"Analyst, Architect, DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL, Manager","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, Training/teaching"
12/12/2017 20:25,50000,India,400077,Microsoft SQL Server,15,SAP,"Independent consultant, contractor, freelancer, or company owner",Architect,No,20,None,3,Masters,No,"Yes, and they're currently valid",40,5 or more,Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,"Data Scientist, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Projects, R&D, Training/teaching"
12/12/2017 20:29,100588,Cayman Islands,,Microsoft SQL Server,5,None,Full time employee,Developer: T-SQL,Yes,6,None,2,None (no degree completed),No,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"Developer: App code (C#, JS, etc), Developer: Business Intelligence (SSRS, PowerBI, etc), Manager","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching"
12/12/2017 20:45,80000,United States,54165,Microsoft SQL Server,3,Oracle,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,3,4,200,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D"
12/12/2017 20:50,125000,United States,28202,Microsoft SQL Server,6,"SQLite, Azure SQL DB",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,21,None,1,Bachelors (4 years),Yes,"Yes, but they expired",58,"None, or less than 1 day per week",Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,"Analyst, Engineer","Build scripts & automation tools, Manual tasks, Projects"
12/12/2017 21:20,14000,Philippines,,Microsoft SQL Server,2,None,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,5,3,30,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,,"On-call as part of a rotation, On-call 24/7/365, Training/teaching"
12/12/2017 21:21,106000,United States,47715,Microsoft SQL Server,25,"Oracle, MySQL/MariaDB, Microsoft Access",Full time employee of a consulting/contracting company,Developer: T-SQL,No,15,None,15,None (no degree completed),N/A,"Yes, but they expired",45,3,Private business,No,"Stay with the same employer, same role",Male,"Analyst, Developer: App code (C#, JS, etc)","Build scripts & automation tools, Manual tasks, Projects"
12/12/2017 21:26,104000,United States,,Microsoft SQL Server,13,Microsoft SQL Server,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,13,More than 5,500,Bachelors (4 years),Yes,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,Architect,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D"
12/12/2017 21:35,53000,United States,,Microsoft SQL Server,5,None,Full time employee,Manager,Yes,5,1,5,Bachelors (4 years),No,"Yes, and they're currently valid",45,"None, or less than 1 day per week","Education (K-12, college, university)",No,"Stay with the same employer, same role",Male,"Analyst, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: T-SQL, Manager","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching"
12/12/2017 21:45,57900,Indonesia,11410,Microsoft SQL Server,4,"Microsoft SQL Server, Oracle, Microsoft Access",Full time employee,Analyst,No,1,None,4,Associates (2 years),Yes,"No, I never have",40,"None, or less than 1 day per week",State/province government,"Yes, actively looking for something else","Stay with the same employer, but change roles",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, R&D"
12/12/2017 22:02,115000,United States,13202,Microsoft SQL Server,11,Elasticsearch,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,None,6,Masters,No,"Yes, but they expired",40,5 or more,Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR)","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, R&D"
12/12/2017 22:14,90000,United States,,Microsoft SQL Server,4,Microsoft SQL Server,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,4,More than 5,100,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"DBA (Production Focus - build & troubleshoot servers, HA/DR), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, On-call 24/7/365, Projects"
12/12/2017 22:20,10500,Philippines,6000,Microsoft SQL Server,7,None,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,7,None,7,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Female,,"Build scripts & automation tools, Manual tasks, On-call 24/7/365, Projects, R&D"
12/12/2017 22:20,22000,India,411028,Microsoft SQL Server,8,None,Full time employee,"Developer: App code (C#, JS, etc)",Yes,7,More than 5,8,Associates (2 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,Manager,"On-call as part of a rotation, Projects, R&D, Training/teaching"
12/12/2017 22:20,12000,Romania,,Microsoft SQL Server,16,"SQLite, Elasticsearch",Full time employee of a consulting/contracting company,Developer: T-SQL,No,0,1,5,Doctorate/PhD,No,"Yes, but they expired",20,1,Private business,"Yes, actively looking for something else",Prefer not to say,Male,"Developer: App code (C#, JS, etc)","Build scripts & automation tools, Meetings & management, Projects"
12/12/2017 22:42,94500,United States,80534,Microsoft SQL Server,18,None,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,16,More than 5,32,Bachelors (4 years),Yes,"Yes, but they expired",50,3,Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Female,,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects, Training/teaching"
12/12/2017 22:43,87000,United States,837,Microsoft SQL Server,5,None,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,4,2,40,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Prefer not to say,"Developer: App code (C#, JS, etc)","Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects"
12/12/2017 22:50,60000,South Africa,1459,Microsoft SQL Server,14,Microsoft SQL Server,Full time employee,Developer: T-SQL,No,7,1,75,Bachelors (4 years),No,"No, I never have",40,2,Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Developer: Business Intelligence (SSRS, PowerBI, etc)","Build scripts & automation tools, Projects"
12/12/2017 22:58,73000,United States,50325,Microsoft SQL Server,4,Microsoft SQL Server,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,5,200,None (no degree completed),N/A,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,,"Build scripts & automation tools, On-call as part of a rotation, Projects, R&D"
12/12/2017 23:17,62000,India,641004,Microsoft SQL Server,3,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, MongoDB, Cassandra, Azure SQL DB, Amazon RDS (any flavor)",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,3,3,130,Associates (2 years),Yes,"Yes, and they're currently valid",90,1,Private business,"Yes, actively looking for something else",Change both employers and roles,Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers)","Build scripts & automation tools, On-call as part of a rotation, Projects"
12/12/2017 23:37,57000,Austria,,Microsoft SQL Server,10,"Microsoft SQL Server, Oracle, PostgreSQL, Microsoft Access",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,12,1,15,None (no degree completed),N/A,"Yes, but they expired",40,1,Local government,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Developer: Business Intelligence (SSRS, PowerBI, etc)",On-call 24/7/365
12/12/2017 23:41,33000,Italy,16134,Microsoft SQL Server,15,"Oracle, MySQL/MariaDB",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,15,None,10,None (no degree completed),N/A,"No, I never have",50,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)",Prefer not to say,Male,Engineer,"Manual tasks, On-call as part of a rotation"
12/12/2017 23:54,48000,South Africa,4051,Microsoft SQL Server,17,PostgreSQL,Full time employee,Developer: T-SQL,No,9,1,42,None (no degree completed),N/A,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,,"Manual tasks, Projects"
12/13/2017 0:12,57000,Poland,,Microsoft SQL Server,8,Oracle,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,5,500,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,"DBA (Production Focus - build & troubleshoot servers, HA/DR)","Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects, R&D"
12/13/2017 0:17,56000,Netherlands,7825,Microsoft SQL Server,8,None,Full time employee,"Developer: App code (C#, JS, etc)",No,16,None,5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,Developer: T-SQL,Build scripts & automation tools
12/13/2017 0:23,50500,Spain,,Microsoft SQL Server,12,Oracle,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,18,None,45,None (no degree completed),N/A,"No, I never have",45,1,Private business,No,"Stay with the same employer, but change roles",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Developer: App code (C#, JS, etc)","Build scripts & automation tools, Manual tasks, R&D"
12/13/2017 0:47,12416,India,,Microsoft SQL Server,6,Microsoft SQL Server,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,6,None,20,Masters,Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Female,,
12/13/2017 0:48,95000,Denmark,,Microsoft SQL Server,15,None,Full time employee,Engineer,No,12,4,1500,Bachelors (4 years),No,"Yes, but they expired",50,2,Private business,No,"Stay with the same employer, same role",Male,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),"Build scripts & automation tools, Manual tasks, On-call as part of a rotation"
12/13/2017 0:48,57000,Slovenia,1000,Microsoft SQL Server,7,"MySQL/MariaDB, DB2, SQLite, Azure SQL DB",Full time employee,Engineer,Yes,5,2,200,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching"
